dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
20News,4,2,16,random_live,0.6489795918367347,0.6320260055282901,0.7091683805464737
20News,4,2,16,random_all,0.6222634508348793,0.6004470581598691,0.6938701565489891
20News,4,2,32,spectral,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,32,random_live,0.712430426716141,0.7073771647768939,0.7483685306941907
20News,4,2,32,random_all,0.6619666048237477,0.6524101652845942,0.7092044383796827
20News,4,2,64,spectral,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,64,random_live,0.7346938775510203,0.7327565295876346,0.7641226100157491
20News,4,2,64,random_all,0.7035250463821893,0.7002453883905906,0.7373949266839971
20News,4,2,128,spectral,0.7588126159554731,0.7552955942911942,0.7882736156351792
20News,4,2,128,random_live,0.7528756957328385,0.7493315281773565,0.7829214063854494
20News,4,2,128,random_all,0.7428571428571428,0.7400645907372934,0.7727633269831673
20News,4,3,8,spectral,0.7068645640074211,0.6977394060727394,0.7476038338658147
20News,4,3,8,random_live,0.6174397031539888,0.5999624624624624,0.6908198581127397
20News,4,3,8,random_all,0.608534322820037,0.5882437993549103,0.6894888948011154
20News,4,3,16,spectral,0.7291280148423006,0.7239044600155711,0.759075907590759
20News,4,3,16,random_live,0.6296846011131725,0.6180374819263708,0.685827193609215
20News,4,3,16,random_all,0.5974025974025974,0.5820876431987543,0.6686759790854646
20News,4,3,32,spectral,0.7421150278293135,0.738307752196641,0.7679465776293823
20News,4,3,32,random_live,0.6808905380333952,0.6715854743632521,0.7249213760247388
20News,4,3,32,random_all,0.6515769944341374,0.6425383717050384,0.6988604968019747
20News,4,3,64,spectral,0.7439703153988868,0.7422074852630408,0.7653061224489796
20News,4,3,64,random_live,0.7343228200371057,0.7287815593371149,0.7644880809055756
20News,4,3,64,random_all,0.7094619666048239,0.7053358914470026,0.7383803974792654
20News,4,3,128,spectral,0.7717996289424861,0.7693874429985541,0.7925801011804384
20News,4,3,128,random_live,0.7658627087198515,0.7633925592258926,0.7871839658163825
20News,4,3,128,random_all,0.7435992578849723,0.7394380491602714,0.7700838152758867
20News,4,4,8,spectral,0.7217068645640075,0.7088768115942029,0.7670807453416149
20News,4,4,8,random_live,0.6089053803339518,0.5911719620958751,0.6810893748925494
20News,4,4,8,random_all,0.5658627087198516,0.5297658862876254,0.6869764323605068
20News,4,4,16,spectral,0.7217068645640075,0.7133988294314382,0.7588424437299035
20News,4,4,16,random_live,0.6341372912801484,0.6233695652173913,0.6866548572045527
20News,4,4,16,random_all,0.609647495361781,0.5951295986622074,0.6743907559760876
