dataset,n_qubits,seed,k,moment,accuracy,balanced,f1
20News,4,1,50,second_moment,0.7439703153988868,0.73655936513259,0.7774193548387097
20News,4,1,50,covariance,0.7495361781076066,0.7442507055634728,0.779050736497545
20News,4,1,64,second_moment,0.7569573283858998,0.7504191466174868,0.7876823338735819
20News,4,1,64,covariance,0.7476808905380334,0.7403246989130131,0.7806451612903226
20News,4,1,128,second_moment,0.7588126159554731,0.7534370022633917,0.7875816993464052
20News,4,1,128,covariance,0.7569573283858998,0.7513272976220415,0.7862969004893964
20News,4,2,8,second_moment,0.7142857142857143,0.7032492807581655,0.7578616352201258
20News,4,2,8,covariance,0.725417439703154,0.715821910080668,0.7658227848101266
20News,4,2,16,second_moment,0.7495361781076066,0.7501833361538895,0.7746243739565943
20News,4,2,16,covariance,0.7365491651205937,0.7319061318892086,0.7694805194805194
20News,4,2,32,second_moment,0.7662337662337663,0.7611411970440571,0.7967741935483871
20News,4,2,32,covariance,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,50,second_moment,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,50,covariance,0.7495361781076066,0.7455012128391718,0.7804878048780488
20News,4,2,64,second_moment,0.7402597402597403,0.7345363005584701,0.7741935483870968
20News,4,2,64,covariance,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,128,second_moment,0.7551020408163265,0.7520801602075928,0.7843137254901961
20News,4,2,128,covariance,0.7588126159554731,0.7552955942911942,0.7882736156351792
20News,4,3,8,second_moment,0.7365491651205937,0.7302927927927928,0.7679738562091504
20News,4,3,8,covariance,0.7068645640074211,0.6977394060727394,0.7476038338658147
20News,4,3,16,second_moment,0.7458256029684601,0.743528250472695,0.7681895093062606
20News,4,3,16,covariance,0.7291280148423006,0.7239044600155711,0.759075907590759
20News,4,3,32,second_moment,0.7402597402597403,0.7362501390279168,0.7666666666666667
20News,4,3,32,covariance,0.7421150278293135,0.738307752196641,0.7679465776293823
20News,4,3,50,second_moment,0.7606679035250464,0.7574101879657436,0.7839195979899497
20News,4,3,50,covariance,0.7532467532467533,0.7502850072294517,0.7764705882352941
20News,4,3,64,second_moment,0.7810760667903525,0.7778333889445002,0.802675585284281
20News,4,3,64,covariance,0.7439703153988868,0.7422074852630408,0.7653061224489796
20News,4,3,128,second_moment,0.7680890538033395,0.7649037926815705,0.7906197654941374
20News,4,3,128,covariance,0.7717996289424861,0.7693874429985541,0.7925801011804384
20News,4,4,8,second_moment,0.712430426716141,0.702159977703456,0.7543581616481775
20News,4,4,8,covariance,0.7217068645640075,0.7088768115942029,0.7670807453416149
20News,4,4,16,second_moment,0.738404452690167,0.7333821070234114,0.7677100494233937
20News,4,4,16,covariance,0.7217068645640075,0.7133988294314382,0.7588424437299035
20News,4,4,32,second_moment,0.7458256029684601,0.7392488851727983,0.7772357723577236
20News,4,4,32,covariance,0.7328385899814471,0.7263099219620959,0.7654723127035831
20News,4,4,50,second_moment,0.738404452690167,0.7300933667781494,0.7736757624398074
20News,4,4,50,covariance,0.7495361781076066,0.7438266443701227,0.779050736497545
20News,4,4,64,second_moment,0.7736549165120594,0.7647435897435897,0.8057324840764332
20News,4,4,64,covariance,0.7606679035250464,0.7538600891861762,0.7909238249594813
20News,4,4,128,second_moment,0.7755102040816326,0.7697045707915273,0.802610114192496
20News,4,4,128,covariance,0.7829313543599258,0.7776268115942029,0.8085106382978723
20News,6,0,8,second_moment,0.647495361781076,0.6305151175811871,0.709480122324159
20News,6,0,8,covariance,0.6289424860853432,0.6116531354983203,0.6941896024464832
20News,6,0,16,second_moment,0.6753246753246753,0.6590495520716686,0.7320061255742726
20News,6,0,16,covariance,0.6586270871985158,0.6423152295632699,0.7177914110429447
20News,6,0,32,second_moment,0.6938775510204082,0.6837066069428892,0.7376788553259142
20News,6,0,32,covariance,0.7179962894248608,0.7113661814109742,0.7532467532467533
20News,6,0,50,second_moment,0.7551020408163265,0.7500559910414334,0.7843137254901961
20News,6,0,50,covariance,0.7421150278293135,0.7361282194848824,0.7739837398373983
20News,6,0,64,second_moment,0.7161410018552876,0.7097214445688689,0.751219512195122
20News,6,0,64,covariance,0.738404452690167,0.7333216685330347,0.7692307692307693
20News,6,0,128,second_moment,0.7680890538033395,0.7635008398656216,0.795417348608838
20News,6,0,128,covariance,0.764378478664193,0.7611772116461366,0.7900826446280992
20News,6,1,8,second_moment,0.6827458256029685,0.6673931874703104,0.7373271889400922
20News,6,1,8,covariance,0.6289424860853432,0.6148391874144242,0.6884735202492211
20News,6,1,16,second_moment,0.6938775510204082,0.6805054908206891,0.7433903576982893
20News,6,1,16,covariance,0.6827458256029685,0.6683013384748652,0.7357032457496137
20News,6,1,32,second_moment,0.725417439703154,0.7109215636963143,0.7723076923076924
20News,6,1,32,covariance,0.7235621521335807,0.7088118590549641,0.7711213517665131
20News,6,1,50,second_moment,0.7421150278293135,0.7312711319752982,0.7811023622047244
20News,6,1,50,covariance,0.7198515769944341,0.7091332047950373,0.7614533965244866
20News,6,1,64,second_moment,0.75139146567718,0.741365579679772,0.7879746835443038
20News,6,1,64,covariance,0.7402597402597403,0.7282532763293934,0.78125
20News,6,1,128,second_moment,0.7792207792207793,0.7675622432726967,0.8143525741029641
20News,6,1,128,covariance,0.7569573283858998,0.7454243160924358,0.7949921752738655
20News,6,2,8,second_moment,0.6753246753246753,0.6624640379082756,0.7261345852895149
20News,6,2,8,covariance,0.673469387755102,0.658515259209116,0.7275541795665634
20News,6,2,16,second_moment,0.6920222634508348,0.6804450837705196,0.7389937106918238
20News,6,2,16,covariance,0.6938775510204082,0.6855643932983584,0.736
20News,6,2,32,second_moment,0.7291280148423006,0.7248899983076662,0.762214983713355
