dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,random_live,128,0.2,inf,2.953125,2.594541868724814,0.8548089591567852,0.7746478873239436
EColi,1,spectral,4,0.0,1000.0,1.75,1.0,0.6827203106461007,0.44
EColi,1,spectral,4,0.0,10000.0,1.75,1.0,0.6827203106461007,0.44
EColi,1,spectral,4,0.0,inf,1.75,1.0,0.6827203106461007,0.44
EColi,1,spectral,4,0.01,1000.0,1.75,1.0238775344007265,0.6827203106461007,0.44
EColi,1,spectral,4,0.01,10000.0,1.75,1.0238775344007265,0.6827203106461007,0.44
EColi,1,spectral,4,0.01,inf,1.75,1.0238775344007265,0.6827203106461007,0.44
EColi,1,spectral,4,0.05,1000.0,1.75,1.1314686588921283,0.6827203106461007,0.44
EColi,1,spectral,4,0.05,10000.0,1.75,1.1314686588921283,0.6827203106461007,0.44
EColi,1,spectral,4,0.05,inf,1.75,1.1314686588921283,0.6827203106461007,0.44
EColi,1,spectral,4,0.1,1000.0,1.75,1.2997269003186163,0.6827203106461007,0.44
EColi,1,spectral,4,0.1,10000.0,1.75,1.2997269003186163,0.6827203106461007,0.44
EColi,1,spectral,4,0.1,inf,1.75,1.2997269003186163,0.6827203106461007,0.44
EColi,1,spectral,4,0.2,1000.0,1.75,1.8136739293764086,0.6827203106461007,0.44
EColi,1,spectral,4,0.2,10000.0,1.75,1.8136739293764086,0.6827203106461007,0.44
EColi,1,spectral,4,0.2,inf,1.75,1.8136739293764086,0.6827203106461007,0.44
EColi,1,spectral,8,0.0,1000.0,2.0,1.0,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.0,10000.0,2.0,1.0,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.0,inf,2.0,1.0,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.01,1000.0,2.0,1.0273253230045336,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.01,10000.0,2.0,1.0273253230045336,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.01,inf,2.0,1.0273253230045336,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.05,1000.0,2.0,1.1513789827155352,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.05,10000.0,2.0,1.1513789827155352,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.05,inf,2.0,1.1513789827155352,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.1,1000.0,2.0,1.3484997023913727,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.1,10000.0,2.0,1.3484997023913727,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.1,inf,2.0,1.3484997023913727,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.2,1000.0,2.0,1.9743869954238096,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.2,10000.0,2.0,1.9743869954238096,0.7943992018121022,0.6571428571428571
EColi,1,spectral,8,0.2,inf,2.0,1.9743869954238096,0.7943992018121022,0.6571428571428571
EColi,1,spectral,16,0.0,1000.0,2.3125,1.0,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.0,10000.0,2.3125,1.0,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.0,inf,2.3125,1.0,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.01,1000.0,2.3125,1.0316402204439747,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.01,10000.0,2.3125,1.0316402204439747,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.01,inf,2.3125,1.0316402204439747,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.05,1000.0,2.3125,1.1763425395668472,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.05,10000.0,2.3125,1.1763425395668472,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.05,inf,2.3125,1.1763425395668472,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.1,1000.0,2.3125,1.409321277266202,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.1,10000.0,2.3125,1.409321277266202,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.1,inf,2.3125,1.409321277266202,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.2,1000.0,2.3125,2.166160098353937,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.2,10000.0,2.3125,2.166160098353937,0.8002642649120915,0.6619718309859155
EColi,1,spectral,16,0.2,inf,2.3125,2.166160098353937,0.8002642649120915,0.6619718309859155
EColi,1,spectral,32,0.0,1000.0,2.4375,1.0,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.0,10000.0,2.4375,1.0,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.0,inf,2.4375,1.0,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.01,1000.0,2.4375,1.033346451633891,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.01,10000.0,2.4375,1.033346451633891,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.01,inf,2.4375,1.033346451633891,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.05,1000.0,2.4375,1.1857372253748437,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.05,10000.0,2.4375,1.1857372253748437,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.05,inf,2.4375,1.1857372253748437,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.1,1000.0,2.4375,1.430639683484472,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.1,10000.0,2.4375,1.430639683484472,0.8080978319490886,0.676056338028169
EColi,1,spectral,32,0.1,inf,2.4375,1.430639683484472,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.2,1000.0,2.4375,2.2219622976572637,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.2,10000.0,2.4375,2.2219622976572637,0.8022327688490993,0.6714285714285714
EColi,1,spectral,32,0.2,inf,2.4375,2.2219622976572637,0.8022327688490993,0.6714285714285714
EColi,1,spectral,64,0.0,1000.0,2.6875,1.0,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.0,10000.0,2.6875,1.0,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.0,inf,2.6875,1.0,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.01,1000.0,2.6875,1.0368199585166042,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.01,10000.0,2.6875,1.0368199585166042,0.7797163197066119,0.6330935251798561
EColi,1,spectral,64,0.01,inf,2.6875,1.0368199585166042,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.05,1000.0,2.6875,1.206370311198459,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.05,10000.0,2.6875,1.206370311198459,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.05,inf,2.6875,1.206370311198459,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.1,1000.0,2.6875,1.4827890304961309,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.1,10000.0,2.6875,1.4827890304961309,0.7748355085751267,0.6323529411764706
EColi,1,spectral,64,0.1,inf,2.6875,1.4827890304961309,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.2,1000.0,2.6875,2.4017485144457345,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.2,10000.0,2.6875,2.4017485144457345,0.788534138712113,0.6521739130434783
EColi,1,spectral,64,0.2,inf,2.6875,2.4017485144457345,0.788534138712113,0.6521739130434783
EColi,1,spectral,128,0.0,1000.0,2.9140625,1.0,0.7894779419695825,0.6344827586206897
EColi,1,spectral,128,0.0,10000.0,2.9140625,1.0,0.7953430050695718,0.6394557823129252
EColi,1,spectral,128,0.0,inf,2.9140625,1.0,0.7894779419695825,0.6344827586206897
EColi,1,spectral,128,0.01,1000.0,2.9140625,1.039968046608172,0.7904621939380865,0.6388888888888888
EColi,1,spectral,128,0.01,10000.0,2.9140625,1.039968046608172,0.7914464459065904,0.6433566433566433
EColi,1,spectral,128,0.01,inf,2.9140625,1.039968046608172,0.7904621939380865,0.6388888888888888
EColi,1,spectral,128,0.05,1000.0,2.9140625,1.2250695917716574,0.7904621939380865,0.6388888888888888
EColi,1,spectral,128,0.05,10000.0,2.9140625,1.2250695917716574,0.7943587531010678,0.6351351351351351
EColi,1,spectral,128,0.05,inf,2.9140625,1.2250695917716574,0.7904621939380865,0.6388888888888888
EColi,1,spectral,128,0.1,1000.0,2.9140625,1.5300108758446829,0.7894779419695825,0.6344827586206897
EColi,1,spectral,128,0.1,10000.0,2.9140625,1.5300108758446829,0.7973115090065797,0.6482758620689655
EColi,1,spectral,128,0.1,inf,2.9140625,1.5300108758446829,0.7894779419695825,0.6344827586206897
EColi,1,spectral,128,0.2,1000.0,2.9140625,2.5637742469776654,0.7904621939380865,0.6388888888888888
EColi,1,spectral,128,0.2,10000.0,2.9140625,2.5637742469776654,0.7963272570380757,0.6438356164383562
EColi,1,spectral,128,0.2,inf,2.9140625,2.5637742469776654,0.7894779419695825,0.6344827586206897
EColi,1,random_live,4,0.0,1000.0,2.75,1.0,0.6946526804012512,0.5263157894736842
EColi,1,random_live,4,0.0,10000.0,2.75,1.0,0.6946526804012512,0.5263157894736842
EColi,1,random_live,4,0.0,inf,2.75,1.0,0.6946526804012512,0.5263157894736842
EColi,1,random_live,4,0.01,1000.0,2.75,1.0377137172980335,0.6946526804012512,0.5263157894736842
EColi,1,random_live,4,0.01,10000.0,2.75,1.0377137172980335,0.6946526804012512,0.5263157894736842
EColi,1,random_live,4,0.01,inf,2.75,1.0377137172980335,0.6946526804012512,0.5263157894736842
