dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,0,32,0.2,0.1,2.75,2.209490098508635,0.6360474308300396,0.42
EColi,0,32,0.2,1.0,2.75,5.006973528894062,0.7711067193675889,0.6666666666666666
EColi,0,32,0.3,0.01,2.75,0.8432357429523991,0.5,0.0
EColi,0,32,0.3,0.1,2.75,2.2266281874439424,0.5590118577075098,0.21176470588235294
EColi,0,32,0.3,1.0,2.75,5.4835420790400216,0.7377733860342556,0.6115702479338843
EColi,0,64,0.0,0.01,2.953125,0.9664090927233965,0.6037022397891963,0.3404255319148936
EColi,0,64,0.0,0.1,2.953125,2.267683272553061,0.7711067193675889,0.6666666666666666
EColi,0,64,0.0,1.0,2.953125,5.4478983764235025,0.8367852437417655,0.7591240875912408
EColi,0,64,0.05,0.01,2.953125,0.9786874155828144,0.5970355731225296,0.3225806451612903
EColi,0,64,0.05,0.1,2.953125,2.268968448664906,0.7520948616600791,0.639344262295082
EColi,0,64,0.05,1.0,2.953125,5.576023626436798,0.8367852437417655,0.7591240875912408
EColi,0,64,0.1,0.01,2.953125,0.9757118585653561,0.5323451910408432,0.12345679012345678
EColi,0,64,0.1,0.1,2.953125,2.295164841941801,0.7387615283267457,0.6166666666666667
EColi,0,64,0.1,1.0,2.953125,5.768646220852103,0.8367852437417655,0.7591240875912408
EColi,0,64,0.2,0.01,2.953125,0.9400572191940525,0.5,0.0
EColi,0,64,0.2,0.1,2.953125,2.3774787762473335,0.6960474308300395,0.5504587155963303
EColi,0,64,0.2,1.0,2.953125,5.841566680717647,0.8377733860342556,0.7647058823529411
EColi,0,64,0.3,0.01,2.953125,0.8639147361795896,0.5,0.0
EColi,0,64,0.3,0.1,2.953125,2.3578316807219784,0.6180237154150198,0.37894736842105264
EColi,0,64,0.3,1.0,2.953125,5.976195596516249,0.8054281949934123,0.7230769230769231
EColi,0,128,0.0,0.01,2.9453125,1.0007234439954205,0.7530830039525691,0.6446280991735537
EColi,0,128,0.0,0.1,2.9453125,2.073683666294147,0.8577733860342556,0.7913669064748201
EColi,0,128,0.0,1.0,2.9453125,4.632796368679274,0.8567852437417655,0.7857142857142857
EColi,0,128,0.05,0.01,2.9453125,1.0195835948947278,0.7207378129117259,0.591304347826087
EColi,0,128,0.05,0.1,2.9453125,2.14183141548575,0.851106719367589,0.782608695652174
EColi,0,128,0.05,1.0,2.9453125,4.836489972012678,0.862463768115942,0.7887323943661971
EColi,0,128,0.1,0.01,2.9453125,1.0321515978182016,0.6513570487483531,0.46
EColi,0,128,0.1,0.1,2.9453125,2.229321353614175,0.8444400527009223,0.7737226277372263
EColi,0,128,0.1,1.0,2.9453125,5.030261189871625,0.871106719367589,0.8085106382978723
EColi,0,128,0.2,0.01,2.9453125,1.0043291361162143,0.5,0.0
EColi,0,128,0.2,0.1,2.9453125,2.4020892366638544,0.8387615283267458,0.7703703703703704
EColi,0,128,0.2,1.0,2.9453125,5.487361863692604,0.871106719367589,0.8085106382978723
EColi,0,128,0.3,0.01,2.9453125,0.9222032720186402,0.5,0.0
EColi,0,128,0.3,0.1,2.9453125,2.5513497209694065,0.7930830039525691,0.7086614173228346
EColi,0,128,0.3,1.0,2.9453125,5.82109163962063,0.8377733860342556,0.7647058823529411
EColi,1,4,0.0,0.01,1.75,0.9215117355892818,0.5,0.0
EColi,1,4,0.0,0.1,1.75,1.909208155434734,0.5908073562722468,0.2903225806451613
EColi,1,4,0.0,1.0,1.75,2.578219547487036,0.6700059324776184,0.4217687074829932
EColi,1,4,0.05,0.01,1.75,0.9107126959374483,0.5,0.0
EColi,1,4,0.05,0.1,1.75,1.9260587893587002,0.5790772300722684,0.26666666666666666
EColi,1,4,0.05,1.0,1.75,2.875231267831934,0.6739429403516342,0.43356643356643354
EColi,1,4,0.1,0.01,1.75,0.9018890008981626,0.5,0.0
EColi,1,4,0.1,0.1,1.75,1.947021957862662,0.5614820407723007,0.22807017543859648
EColi,1,4,0.1,1.0,1.75,3.0453666642404174,0.6739429403516342,0.43356643356643354
EColi,1,4,0.2,0.01,1.75,0.8859954981649196,0.5,0.0
EColi,1,4,0.2,0.1,1.75,1.9293464529665743,0.5127143781684824,0.05263157894736842
EColi,1,4,0.2,1.0,1.75,3.551756438883615,0.6641813180886635,0.4233576642335766
EColi,1,4,0.3,0.01,1.75,0.8714687422104517,0.5,0.0
