String,Order,Type,Importance
XIXYII,3,XXY,0.0
YYIYZZ,5,YYYZZ,0.0
YYIYZX,5,XYYYZ,0.0
YYIYZI,4,YYYZ,0.0
YYIYYY,5,YYYYY,0.0
YYIYXZ,5,XYYYZ,0.0
YYIYXX,5,XXYYY,0.0
YYIYXI,4,XYYY,0.0
YYIYIZ,4,YYYZ,0.0
YYIYIX,4,XYYY,0.0
YYIYII,3,YYY,0.0
XIXZZY,5,XXYZZ,0.0
XIXZYZ,5,XXYZZ,0.0
XIXXXY,5,XXXXY,0.0
XIXXIY,4,XXXY,0.0
YYIZZY,5,YYYZZ,0.0
YYIZYZ,5,YYYZZ,0.0
YYIZYX,5,XYYYZ,0.0
YYIZYI,4,YYYZ,0.0
YYIZXY,5,XYYYZ,0.0
YYIZIY,4,YYYZ,0.0
XIXYZZ,5,XXYZZ,0.0
XIXYZX,5,XXXYZ,0.0
XIXYZI,4,XXYZ,0.0
XIXYYY,5,XXYYY,0.0
XIXYXZ,5,XXXYZ,0.0
XIXYXX,5,XXXXY,0.0
XIXIYI,3,XXY,0.0
XIXIXY,4,XXXY,0.0
XIXIIY,3,XXY,0.0
YYXIZY,5,XYYYZ,0.0
YYXIYZ,5,XYYYZ,0.0
YYXIYX,5,XXYYY,0.0
YYXIYI,4,XYYY,0.0
YYXIXY,5,XXYYY,0.0
YYXIIY,4,XYYY,0.0
XIXXZY,5,XXXYZ,0.0
XIXXYZ,5,XXXYZ,0.0
XIXXYX,5,XXXXY,0.0
XIXXYI,4,XXXY,0.0
XIIZYZ,4,XYZZ,0.0
XIIZYX,4,XXYZ,0.0
XIIZYI,3,XYZ,0.0
XIIZXY,4,XXYZ,0.0
XIIZIY,3,XYZ,0.0
YYXXZY,6,XXYYYZ,0.0
YYXXYZ,6,XXYYYZ,0.0
YYXXYX,6,XXXYYY,0.0
YYXXYI,5,XXYYY,0.0
YYXXXY,6,XXXYYY,0.0
YYXXIY,5,XXYYY,0.0
XIXIZY,4,XXYZ,0.0
XIXIYZ,4,XXYZ,0.0
XIXIYX,4,XXXY,0.0
XIIYXI,3,XXY,0.0
XIIYIZ,3,XYZ,0.0
XIIYIX,3,XXY,0.0
XIIYII,2,XY,0.0
YYXYZZ,6,XYYYZZ,0.0
YYXYZX,6,XXYYYZ,0.0
YYXYZI,5,XYYYZ,0.0
YYXYYY,6,XYYYYY,0.0
YYXYXZ,6,XXYYYZ,0.0
YYXYXX,6,XXXYYY,0.0
YYXYXI,5,XXYYY,0.0
YYXYIZ,5,XYYYZ,0.0
YYXYIX,5,XXYYY,0.0
YYXYII,4,XYYY,0.0
XIIZZY,4,XYZZ,0.0
YYYIIZ,4,YYYZ,0.0
YYYIIX,4,XYYY,0.0
YYYIII,3,YYY,0.0
YYXZZY,6,XYYYZZ,0.0
YYXZYZ,6,XYYYZZ,0.0
YYXZYX,6,XXYYYZ,0.0
YYXZYI,5,XYYYZ,0.0
YYXZXY,6,XXYYYZ,0.0
YYXZIY,5,XYYYZ,0.0
XIIYZZ,4,XYZZ,0.0
XIIYZX,4,XXYZ,0.0
XIIYZI,3,XYZ,0.0
XIIYYY,4,XYYY,0.0
XIIYXZ,4,XXYZ,0.0
XIIYXX,4,XXXY,0.0
XIIXYZ,4,XXYZ,0.0
XIIXYX,4,XXXY,0.0
XIIXYI,3,XXY,0.0
XIIXXY,4,XXXY,0.0
XIIXIY,3,XXY,0.0
YYYIZZ,5,YYYZZ,0.0
YYYIZX,5,XYYYZ,0.0
YYYIZI,4,YYYZ,0.0
YYYIYY,5,YYYYY,0.0
YYYIXZ,5,XYYYZ,0.0
YYYIXX,5,XXYYY,0.0
YYYIXI,4,XYYY,0.0
XIIIYX,3,XXY,0.0
XIIIYI,2,XY,0.0
XIIIXY,3,XXY,0.0
XIIIIY,2,XY,0.0
YYYXZZ,6,XYYYZZ,0.0
YYYXZX,6,XXYYYZ,0.0
YYYXZI,5,XYYYZ,0.0
YYYXYY,6,XYYYYY,0.0
YYYXXZ,6,XXYYYZ,0.0
YYYXXX,6,XXXYYY,0.0
YYYXXI,5,XXYYY,0.0
YYYXIZ,5,XYYYZ,0.0
YYYXIX,5,XXYYY,0.0
YYYXII,4,XYYY,0.0
XIIXZY,4,XXYZ,0.0
YYYYZY,6,YYYYYZ,0.0
YYYYYZ,6,YYYYYZ,0.0
YYYYYX,6,XYYYYY,0.0
YYYYYI,5,YYYYY,0.0
YYYYXY,6,XYYYYY,0.0
YYYYIY,5,YYYYY,0.0
IZZZZY,5,YZZZZ,0.0
IZZZYZ,5,YZZZZ,0.0
IZZZYX,5,XYZZZ,0.0
IZZZYI,4,YZZZ,0.0
IZZZXY,5,XYZZZ,0.0
IZZZIY,4,YZZZ,0.0
XIIIZY,3,XYZ,0.0
XIIIYZ,3,XYZ,0.0
IZZYXX,5,XXYZZ,0.0
IZZYXI,4,XYZZ,0.0
IZZYIZ,4,YZZZ,0.0
IZZYIX,4,XYZZ,0.0
IZZYII,3,YZZ,0.0
YYYZZZ,6,YYYZZZ,0.0
YYYZZX,6,XYYYZZ,0.0
YYYZZI,5,YYYZZ,0.0
YYYZYY,6,YYYYYZ,0.0
YYYZXZ,6,XYYYZZ,0.0
YYYZXX,6,XXYYYZ,0.0
YYYZXI,5,XYYYZ,0.0
YYYZIZ,5,YYYZZ,0.0
