String,Order,Type,Importance
IZIYYX,4,XYYZ,0.08021364685300604
XYYZXZ,6,XXYYZZ,0.08020295537545397
XZZIIZ,4,XZZZ,0.08017963287539552
ZXZYYI,5,XYYZZ,0.08017762307685508
YXXXXY,6,XXXXYY,0.08015574891221562
XZXZZI,5,XXZZZ,0.08014470378724761
XXYXYI,5,XXXYY,0.08013803253762392
IZZZIX,4,XZZZ,0.08004761721403608
ZXIZXX,5,XXXZZ,0.08003613991109525
IXXZIZ,4,XXZZ,0.08003021683368453
YZXXYI,5,XXYYZ,0.08000166589119452
IXYIYZ,4,XYYZ,0.07998929905406427
YXIYZX,5,XXYYZ,0.07998450738568945
IZZYYI,4,YYZZ,0.07997948828769527
IYXZYI,4,XYYZ,0.0799478156664651
IIZIII,1,Z,0.07990049318907416
IIXXXI,3,XXX,0.07989639923644269
ZIZXYY,5,XYYZZ,0.07987262543764234
XIIYZY,4,XYYZ,0.07982519118929965
ZIXZXZ,5,XXZZZ,0.079821844136965
IZZIZI,3,ZZZ,0.07975857280549883
IIIZXX,3,XXZ,0.07971877891464733
YIYYXY,5,XYYYY,0.07966865789752009
YXYXII,4,XXYY,0.07958946824031911
XYYXXZ,6,XXXYYZ,0.07953026857786324
YYIIZI,3,YYZ,0.07950263546541622
XYXYZX,6,XXXYYZ,0.07943512344155948
YZXXZY,6,XXYYZZ,0.07934374146721256
XXYZYX,6,XXXYYZ,0.07917739074485826
XIIIXX,3,XXX,0.07913443092171456
ZZXXXI,5,XXXZZ,0.07912254739259425
YYYZXY,6,XYYYYZ,0.07910953553419106
XZYYYY,6,XYYYYZ,0.07905615125288687
ZYIXYI,4,XYYZ,0.07905140967881011
YIYIII,2,YY,0.07899754214202623
IIZIZX,3,XZZ,0.0789000716014894
XXXZZX,6,XXXXZZ,0.07879236893704104
YXYXIZ,5,XXYYZ,0.0787819102556418
YXIXYI,4,XXYY,0.07877591676136146
IYZYYY,5,YYYYZ,0.07875484434599572
ZZZZZZ,6,ZZZZZZ,0.07865510085058545
IIXZZI,3,XZZ,0.07859265726865589
YIXXYI,4,XXYY,0.07858344476396364
ZIXZZZ,5,XZZZZ,0.07857197169509855
ZZYXYI,5,XYYZZ,0.078509191759436
IZXIZZ,4,XZZZ,0.0784878903838738
IYZIXY,4,XYYZ,0.07844672476535873
IYZXZY,5,XYYZZ,0.07841048924184024
IZIIZZ,3,ZZZ,0.07840555961463652
IIIZXI,2,XZ,0.07835413862407613
XZXIIX,4,XXXZ,0.07834723296272747
ZXZIIZ,4,XZZZ,0.07829480737723303
IYYZIZ,4,YYZZ,0.07828141433038549
ZIYIYX,4,XYYZ,0.07827391140494973
ZYZXYX,6,XXYYZZ,0.0781492307358051
XIXZIX,4,XXXZ,0.07809660198131115
IZIXXZ,4,XXZZ,0.07808763477380312
ZZZXXZ,6,XXZZZZ,0.07808104800497857
ZZYZYI,5,YYZZZ,0.07807007906313347
ZYXIYI,4,XYYZ,0.07800816415539386
IIIZYY,3,YYZ,0.07787284905307178
ZYZIYZ,5,YYZZZ,0.07786550645556414
XIXZZI,4,XXZZ,0.07785424485909452
XIXYXY,5,XXXYY,0.07783414739750834
IXIZIX,3,XXZ,0.07764504119516326
ZXXIZZ,5,XXZZZ,0.07754510796941924
YYXIZI,4,XYYZ,0.0775444378404385
IZIXXX,4,XXXZ,0.07750137919202801
XZZXZZ,6,XXZZZZ,0.07748635430876614
IZXZXZ,5,XXZZZ,0.07747151051537837
ZZIIZI,3,ZZZ,0.07745109265893732
IZZXYY,5,XYYZZ,0.07744714038453723
YIZZZY,5,YYZZZ,0.07738733354991759
IYIIXY,3,XYY,0.07732725949621443
YIIYXI,3,XYY,0.07723098405567888
YYYIXY,5,XYYYY,0.0772143560733706
YXXYXX,6,XXXXYY,0.0772023160670118
YYIIXX,4,XXYY,0.07716421322982935
XIYXYX,5,XXXYY,0.07714343099040163
YIYXXI,4,XXYY,0.07710684969334061
XZZXII,4,XXZZ,0.07708361545085501
YXYIXI,4,XXYY,0.07707821580630538
XYIYZI,4,XYYZ,0.07695866038771686
ZYIXYX,5,XXYYZ,0.07692982332691714
YIIZYZ,4,YYZZ,0.07692506277558789
ZIXYXY,5,XXYYZ,0.07686791438456816
XIYXYI,4,XXYY,0.07685232930203399
ZYXYYY,6,XYYYYZ,0.07682897648356676
YIYZYY,5,YYYYZ,0.07680006177827575
IZYIXY,4,XYYZ,0.0767760470569437
ZIYYYY,5,YYYYZ,0.07672979537160449
XXIYZY,5,XXYYZ,0.07672658415877033
XIZZIZ,4,XZZZ,0.07667468415553882
ZIXIXZ,4,XXZZ,0.07666513764681593
IZIXZI,3,XZZ,0.07660601897390247
ZZIXIZ,4,XZZZ,0.07658740364318514
XZZZIZ,5,XZZZZ,0.07657575492199917
IZIIZI,2,ZZ,0.07648179687261922
IXYIYI,3,XYY,0.07646680769134305
XIYIZY,4,XYYZ,0.07646476334704005
XYYYYZ,6,XYYYYZ,0.07646239712100353
IZZYYX,5,XYYZZ,0.07645181249558265
ZYYZXX,6,XXYYZZ,0.07634606941123118
IZYIYX,4,XYYZ,0.0763196526265291
IIYZXY,4,XYYZ,0.07631785972822705
IYIIYI,2,YY,0.0762723159411702
ZYZIYI,4,YYZZ,0.07615735248390365
XXXXYY,6,XXXXYY,0.07614412098312272
XXZIYY,5,XXYYZ,0.07612145923975348
YYIZXZ,5,XYYZZ,0.07612133690267255
YYXYXY,6,XXYYYY,0.07610589415164885
IYYXZZ,5,XYYZZ,0.07609972386184397
YXXZYX,6,XXXYYZ,0.07603022855530724
YXXYII,4,XXYY,0.07597269047649796
ZYIXYZ,5,XYYZZ,0.07592394596256466
YYZZZZ,6,YYZZZZ,0.07591264708468612
IYZYZX,5,XYYZZ,0.07587056442556125
IIIYYZ,3,YYZ,0.07584765042684447
ZYIXZY,5,XYYZZ,0.07583714348642916
IIXXXX,4,XXXX,0.07578733572348563
XIIYYX,4,XXYY,0.07575238899296152
YIZYII,3,YYZ,0.07563717198534418
IIXZII,2,XZ,0.07563650149056227
YYZZXI,5,XYYZZ,0.07563275251397308
IXXXII,3,XXX,0.07558231295416903
ZZXYYI,5,XYYZZ,0.0755707355221362
YXZXXY,6,XXXYYZ,0.07554888974573266
YZXZIY,5,XYYZZ,0.0755410134297537
XIYXZY,5,XXYYZ,0.0755326853818511
XYZYIZ,5,XYYZZ,0.07548155681105195
ZXXZII,4,XXZZ,0.0754570878280308
IIYZYZ,4,YYZZ,0.07545496569174048
IIZZZZ,4,ZZZZ,0.07543545105230012
XYXYZI,5,XXYYZ,0.07539628415020828
YZZYYY,6,YYYYZZ,0.07539471152380096
IIIYYX,3,XYY,0.07535203728553837
XYYIZZ,5,XYYZZ,0.07530156515268281
ZXYXZY,6,XXYYZZ,0.0752871535239689
XZIIZI,3,XZZ,0.07523903023159349
XZXZXZ,6,XXXZZZ,0.07523825225663891
XYIIYX,4,XXYY,0.07523761334340826
ZYIYYY,5,YYYYZ,0.07523128439893058
XYYZZZ,6,XYYZZZ,0.07521610281664493
XZIXXI,4,XXXZ,0.0751648068133909
YYIZZX,5,XYYZZ,0.07516284772003176
YYIZIZ,4,YYZZ,0.07503069736606278
XZIXZI,4,XXZZ,0.07503052527605811
ZZZIXX,5,XXZZZ,0.0750249071001444
YZZZYZ,6,YYZZZZ,0.07495971320400789
IXXYYI,4,XXYY,0.07491636519320818
IYXZYX,5,XXYYZ,0.07491508336612805
XXZYYX,6,XXXYYZ,0.07486384909094135
XXZXXX,6,XXXXXZ,0.07481566063385206
ZXZXIX,5,XXXZZ,0.07480506213301971
XXXZIZ,5,XXXZZ,0.07478367809112216
IYZZZY,5,YYZZZ,0.0747826234940259
XIIIII,1,X,0.07473450786000276
YYYIZY,5,YYYYZ,0.0746867124936255
YXXZXY,6,XXXYYZ,0.07468491806096281
XIZZXI,4,XXZZ,0.07465684702985906
ZIZZII,3,ZZZ,0.07462498569532616
YYXYYI,5,XYYYY,0.07455928283501617
ZIYYXX,5,XXYYZ,0.07454980439161926
IXYXYZ,5,XXYYZ,0.07449406477062191
ZZXZXZ,6,XXZZZZ,0.0744924986221253
IYYYYX,5,XYYYY,0.07447612977172771
XYXIIY,4,XXYY,0.07445239893803215
IZZZII,3,ZZZ,0.07445126994167879
XYYZZI,5,XYYZZ,0.07444070383725405
XIYYIX,4,XXYY,0.07443905621390844
XXYXXY,6,XXXXYY,0.07443844268750695
IYZYZI,4,YYZZ,0.07443844053238019
YYIZZI,4,YYZZ,0.07441915587859109
IXYIZY,4,XYYZ,0.07440263847384425
XZXYZY,6,XXYYZZ,0.07437015437614933
IZZIIX,3,XZZ,0.07431723862807485
IIIZIX,2,XZ,0.07431268025656383
ZIXIII,2,XZ,0.07430618473570635
IYZIIY,3,YYZ,0.07423347300711078
IIIIXZ,2,XZ,0.07419143665364837
ZZXZII,4,XZZZ,0.07412728228947005
