dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
EColi,4,1,16,spectral,1000.0,62.0,0,0,0.06696886185751041,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,16,spectral,10000.0,625.0,0,0,0.022656750249286477,0.9173838209982789,0.8002642649120915,0.6619718309859155
EColi,4,1,16,spectral,100000.0,6250.0,0,0,0.008848705841295539,0.9173838209982789,0.8002642649120915,0.6619718309859155
EColi,4,1,16,spectral,inf,inf,0,0,0.0,0.9173838209982789,0.8002642649120915,0.6619718309859155
EColi,4,1,16,random_live,1000.0,62.0,0,0,0.08581963976906143,0.8726333907056799,0.633912199331248,0.38333333333333336
EColi,4,1,16,random_live,10000.0,625.0,0,0,0.03196862390752141,0.8795180722891566,0.6495793334052421,0.4166666666666667
EColi,4,1,16,random_live,100000.0,6250.0,0,0,0.010609052478139064,0.8795180722891566,0.6495793334052421,0.4166666666666667
EColi,4,1,16,random_live,inf,inf,0,0,0.0,0.8795180722891566,0.6495793334052421,0.4166666666666667
EColi,4,1,16,random_all,1000.0,62.0,6,372,0.09120152966492068,0.8984509466437177,0.7131916729586883,0.5354330708661418
EColi,4,1,16,random_all,10000.0,625.0,6,3750,0.03405184641229064,0.8984509466437177,0.7131916729586883,0.5354330708661418
EColi,4,1,16,random_all,100000.0,6250.0,6,37500,0.008707685520301678,0.8984509466437177,0.7131916729586883,0.5354330708661418
EColi,4,1,16,random_all,inf,inf,6,0,0.0,0.8984509466437177,0.7131916729586883,0.5354330708661418
EColi,4,1,32,spectral,1000.0,31.0,0,0,0.10693113782914482,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,32,spectral,10000.0,312.0,0,0,0.033258532693828974,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,32,spectral,100000.0,3125.0,0,0,0.011669630137733764,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,32,spectral,inf,inf,0,0,0.0,0.9208261617900172,0.8022327688490993,0.6714285714285714
EColi,4,1,32,random_live,1000.0,31.0,0,0,0.1621335098739016,0.9018932874354562,0.7444854923956423,0.5777777777777777
EColi,4,1,32,random_live,10000.0,312.0,0,0,0.04268984609192285,0.8984509466437177,0.730786862258656,0.556390977443609
EColi,4,1,32,random_live,100000.0,3125.0,0,0,0.011559949381421963,0.9018932874354562,0.7444854923956423,0.5777777777777777
