train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.6242424242424243,0.6323529411764706,0.7660940753359833,0.744876660341556,EColi,4,2,spectral,8,136,1354,0.005908419497784343,-0.008110516934046297,0.02121741499442731
0.6138613861386139,0.6906474820143885,0.7455565019875071,0.7763045540796965,EColi,4,2,spectral,12,136,1354,0.008862629246676515,-0.07678609587577467,-0.030748052092189337
0.6483180428134556,0.6967741935483871,0.7769827749384819,0.8015180265654649,EColi,4,2,spectral,16,136,1354,0.011816838995568686,-0.04845615073493148,-0.024535251626983
0.6791277258566978,0.7210884353741497,0.7891491576755632,0.8026921252371917,EColi,4,2,spectral,24,136,1354,0.01772525849335303,-0.0419607095174519,-0.013542967561628538
0.6975308641975309,0.7034482758620689,0.8006861631648685,0.7909274193548387,EColi,4,2,spectral,32,136,1354,0.023633677991137372,-0.005917411664538075,0.009758743810029835
0.7341772151898734,0.6573426573426573,0.8137043346583381,0.7653818785578748,EColi,4,2,spectral,48,136,1354,0.03545051698670606,0.07683455784721616,0.048322456100463373
0.7476038338658147,0.6713286713286714,0.8181856899488926,0.7722722960151802,EColi,4,2,spectral,64,136,1354,0.047267355982274745,0.07627516253714339,0.04591339393371241
0.7711598746081505,0.624113475177305,0.8348523566155593,0.7467267552182164,EColi,4,2,spectral,96,136,1354,0.07090103397341212,0.14704639943084552,0.08812560139734293
0.7697160883280757,0.6938775510204082,0.8325004732159758,0.7889112903225806,EColi,4,2,spectral,128,136,1354,0.09453471196454949,0.07583853730766754,0.043589182893395195
0.7735849056603774,0.6938775510204082,0.8352782509937535,0.7889112903225806,EColi,4,2,spectral,136,136,1354,0.10044313146233383,0.07970735463996925,0.04636696067117296
0.0,0.0,0.5,0.5,EColi,4,2,random_live,1,136,1354,0.0007385524372230429,0.0,0.0
0.043010752688172046,0.023255813953488372,0.5102593223547227,0.5058823529411764,EColi,4,2,random_live,2,136,1354,0.0014771048744460858,0.019754938734683675,0.004376969413546261
0.2818181818181818,0.24242424242424243,0.5822780617073633,0.5685721062618596,EColi,4,2,random_live,3,136,1354,0.0022156573116691287,0.03939393939393937,0.013705955445503681
